model,variant,split,metric,k,value,n_users,n_ratings,seed,run_id,timestamp
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,coverage,10.0,0.07174603174603175,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,mean_popularity,10.0,185.79131944444444,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,popularity_percentile,10.0,0.921400051178879,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,gini,10.0,0.9863098177542622,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,precision_at_k,20.0,0.024305555555555556,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,recall_at_k,20.0,0.08126033192272805,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,coverage,20.0,0.11047619047619048,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,mean_popularity,20.0,171.79056712962964,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,popularity_percentile,20.0,0.9075457962727658,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.005,n_factors=8,regularisation=0.1",val,gini,20.0,0.9759620811287478,864,0,20260903,20260922T171255,1790077564
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,rmse,,0.9633932785289715,943,9988,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,mae,,0.7616471876772036,943,9988,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,precision_at_k,5.0,0.030555555555555558,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,recall_at_k,5.0,0.023888209309620656,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,coverage,5.0,0.07428571428571429,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,mean_popularity,5.0,189.24467592592592,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,popularity_percentile,5.0,0.9219829462562944,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,gini,5.0,0.9870032333921223,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,precision_at_k,10.0,0.0275462962962963,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,recall_at_k,10.0,0.048227148532569195,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,coverage,10.0,0.11428571428571428,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,mean_popularity,10.0,183.53078703703704,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,popularity_percentile,10.0,0.9148748911713492,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,gini,10.0,0.9789196061140506,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,precision_at_k,20.0,0.025810185185185186,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,recall_at_k,20.0,0.08636138718810021,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,coverage,20.0,0.17142857142857143,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,mean_popularity,20.0,169.91122685185186,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,popularity_percentile,20.0,0.9000126476540072,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.01,n_factors=8,regularisation=0.1",val,gini,20.0,0.9648860964138742,864,0,20260903,20260922T171255,1790077599
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,rmse,,0.9805747021637876,943,9988,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,mae,,0.776228300435727,943,9988,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,precision_at_k,5.0,0.033796296296296297,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,recall_at_k,5.0,0.02823399861940273,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,coverage,5.0,0.10031746031746032,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,mean_popularity,5.0,203.0511574074074,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,popularity_percentile,5.0,0.929592863193562,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,gini,5.0,0.9790117577895355,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,precision_at_k,10.0,0.029513888888888888,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,recall_at_k,10.0,0.05032255323931831,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,coverage,10.0,0.14095238095238094,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,mean_popularity,10.0,191.53368055555555,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,popularity_percentile,10.0,0.922680699679985,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,gini,10.0,0.9703530276308054,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,precision_at_k,20.0,0.02650462962962963,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,recall_at_k,20.0,0.09000491548173482,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,coverage,20.0,0.19682539682539682,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,mean_popularity,20.0,175.45752314814814,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,popularity_percentile,20.0,0.9090314911878207,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.005,n_factors=16,regularisation=0.005",val,gini,20.0,0.9565316725455615,864,0,20260903,20260922T171255,1790077622
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,rmse,,0.980176704332695,943,9988,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,mae,,0.7765183906099723,943,9988,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,precision_at_k,5.0,0.031018518518518525,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,recall_at_k,5.0,0.023868342734649623,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,coverage,5.0,0.08253968253968254,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,mean_popularity,5.0,198.68634259259258,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,popularity_percentile,5.0,0.9279696985740506,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,gini,5.0,0.9827536743092299,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,precision_at_k,10.0,0.02928240740740741,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,recall_at_k,10.0,0.04915060457901986,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,coverage,10.0,0.1219047619047619,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,mean_popularity,10.0,189.8775462962963,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,popularity_percentile,10.0,0.9217469792696127,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,gini,10.0,0.9744729570840682,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,precision_at_k,20.0,0.025752314814814815,864,0,20260903,20260922T171255,1790077635
mf,"learning_rate=0.01,n_factors=16,regularisation=0.005",val,recall_at_k,20.0,0.08784820929477068,864,0,20260903,20260922T171255,1790077635
